id;language_code;display_language_code;name
458;ca;fa;Catalan
459;ca;fi;katalaani
460;ca;ga;Catalan
461;ca;he;קטלאנית
462;ca;hi;Catalan
463;ca;hr;Katalonski
464;ca;hu;katalán
465;ca;hy;Catalan
466;ca;id;Catalan
467;ca;is;Catalan
468;ca;it;Catalano
469;ca;ja;カタルーニャ語
470;ca;ko;카탈로니아어
471;ca;ku;Catalan
472;ca;la;Catalan
473;ca;lv;Catalan
474;ca;lt;Catalan
475;ca;mk;Catalan
476;ca;mt;Catalan
477;ca;mn;Catalan
478;ca;ne;Catalan
479;ca;nl;Catalaans
480;ca;nb;catalan
481;ca;pa;Catalan
482;ca;pl;kataloński
483;ca;pt-pt;Catalão
484;ca;pt-br;Catalão
485;ca;qu;Catalan
486;ca;ro;Catalană
487;ca;ru;Каталанский
488;ca;sl;Katalonščina
489;ca;so;Catalan
490;ca;sq;Catalan
491;ca;sr;каталонски
492;ca;sv;Katalanska
493;ca;ta;Catalan
494;ca;th;คะตะลาน
495;ca;tr;Katalan dili
496;ca;uk;Catalan
497;ca;ur;Catalan
498;ca;uz;Catalan
499;ca;vi;Catalan
500;ca;yi;Catalan
501;ca;zh-hans;加泰罗尼亚语
502;ca;zu;Catalan
503;ca;zh-hant;加泰羅尼亞語
504;ca;ms;Catalan
505;cs;en;Czech
506;cs;es;Checo
507;cs;de;Tschechisch
508;cs;fr;Tchèque
509;cs;ar;التشيكية
510;cs;bs;Czech
511;cs;bg;Чешки
512;cs;ca;Czech
513;cs;cs;Čeština
514;cs;sk;Čeština
515;cs;cy;Czech
516;cs;da;Czech
517;cs;el;Τσεχικη
518;cs;eo;Czech
519;cs;et;Czech
520;cs;eu;Czech
521;cs;fa;Czech
522;cs;fi;tsekki
523;cs;ga;Czech
524;cs;he;צ'כית
525;cs;hi;Czech
526;cs;hr;češki
527;cs;hu;cseh
528;cs;hy;Czech
529;cs;id;Czech
530;cs;is;Czech
531;cs;it;Ceco
532;cs;ja;チェコ語
